1904, 1936, 1968
1872, 1927, 1763
1756, 1893, 1520
1732, 1895, 1296
1659, 1863, 1168
1535, 1906, 1055
1622, 1927, 1125
1621, 2055, 1409
1683, 2275, 1715
1831, 2352, 2234
1863, 2512, 2778
1931, 2608, 3292
2038, 2594, 3957
2128, 2591, 4095
2129, 2513, 4095
2063, 2384, 4095
1929, 2268, 3759
1897, 2138, 3170
1821, 2079, 2743
1841, 1983, 2450
1795, 1919, 2129
1787, 1922, 1936
1734, 1910, 1842
1690, 1902, 1798
1635, 1872, 1711
1562, 1845, 1571
1494, 1854, 1424
1421, 1855, 1397
1463, 1924, 1455
1523, 2058, 1712
1626, 2112, 2128
1755, 2224, 2575
1821, 2361, 2977
2018, 2367, 4047
2139, 2321, 4095
2211, 2199, 4095
2189, 2119, 4095
2099, 2056, 4095
2025, 1973, 3354
1958, 1888, 2733
1913, 1869, 2255
1899, 1841, 1885
1773, 1855, 1727
1651, 1856, 1663
1461, 1892, 1648
1284, 1872, 1586
1162, 1868, 1451
1115, 1921, 1343
1098, 1954, 1408
1147, 1958, 1570
1387, 1973, 1812
1549, 2025, 1872
1826, 2082, 1983
2206, 2143, 2448
2571, 2164, 3183
2854, 2141, 4095
3286, 2412, 4095
2341, 2000, 4095
2659, 1796, 4095
2608, 1722, 4061
2209, 1809, 3201
2017, 1863, 2619
1984, 1784, 2251
1921, 1803, 2147
1779, 1851, 2127
1711, 1872, 2138
1688, 1891, 2111
1630, 1904, 2003
1567, 1910, 1931
1530, 1894, 1805
1514, 1863, 1637
1558, 1827, 1482
1670, 1776, 1411
1770, 1862, 1456
2045, 2034, 1891
2273, 2194, 2671
2310, 2256, 3459
2339, 2273, 4049
2314, 2348, 4087
2317, 2331, 3926
2230, 2272, 3583
2027, 2211, 3190
1858, 2123, 2827
1697, 2017, 2502
1468, 1936, 2144
1305, 1920, 1807
1168, 1902, 1486
1132, 1903, 1306
1296, 1840, 1127
1424, 1890, 1086
1648, 2041, 1399
1958, 2288, 2147
2307, 2489, 2924
2544, 2434, 3888
2613, 2383, 4095
2727, 2351, 3860
2779, 2262, 3527
2608, 2135, 3281
2453, 2000, 2972
2281, 1927, 2640
2163, 1855, 2438
2141, 1803, 2286
2033, 1847, 2127
1855, 1830, 2021
1680, 1851, 1888
1408, 1883, 1769
1224, 1917, 1670
1217, 1931, 1710
1289, 1987, 1742
1383, 2010, 1933
1529, 2053, 2114
1629, 2132, 2203
1723, 2213, 2363
1986, 2298, 2700
2319, 2321, 3360
2595, 2289, 4095
2636, 2241, 4095
2602, 2176, 4095
2417, 2132, 4042
2258, 2038, 3166
2167, 1943, 2674
2114, 1915, 2295
1963, 1872, 2026
1883, 1886, 1950
1696, 1914, 1811
1488, 1895, 1717
1244, 1926, 1584
1149, 1923, 1511
1137, 1918, 1476
1143, 1947, 1551
1200, 1949, 1625
1330, 1968, 1648
1612, 1972, 1846
1808, 2135, 1984
2224, 2224, 2546
2659, 2242, 3600
2836, 2213, 4095
2803, 2157, 4095
2722, 2121, 4095
2603, 2031, 4095
2464, 1936, 3807
2352, 1899, 3062
2145, 1884, 2624
2021, 1882, 2288
1915, 1877, 2095
1729, 1926, 1966
1487, 1951, 1811
1257, 1942, 1616
1198, 1984, 1479
1309, 1973, 1579
1337, 1920, 1500
1216, 1935, 1466
1242, 1933, 1488
1319, 1966, 1590
1649, 1989, 1878
1849, 2143, 2004
2187, 2278, 2445
2642, 2323, 3335
2895, 2298, 4095
2816, 2221, 4095
2650, 2128, 4095
2509, 2033, 4095
2354, 1991, 3824
2217, 1936, 2995
2044, 1870, 2505
1939, 1857, 2161
1743, 1872, 2000
1591, 1898, 1914
1417, 1900, 1843
1288, 1904, 1680
1171, 1904, 1609
1195, 1938, 1590
1267, 1923, 1595
1317, 1919, 1619
1476, 1917, 1627
1639, 1919, 1749
1846, 2014, 1939
2191, 2117, 2353
2537, 2141, 3181
2697, 2160, 4095
2765, 2150, 4095
2654, 2109, 4095
2485, 2086, 4095
2353, 2042, 3595
2239, 1985, 3062
2099, 1937, 2704
1904, 1956, 2379
1723, 1934, 2190
1534, 1973, 2007
1323, 1994, 1843
1145, 2034, 1696
1162, 2022, 1639
1291, 1941, 1599
1198, 1943, 1485
1265, 1954, 1570
1381, 1930, 1643
1639, 1979, 1776
1733, 2011, 2039
1827, 2112, 2154
2199, 2247, 2769
